"Año","sistema","tiempo de operación en minutos","minutos de falla","tiempo entre falla y falla","humedad del equipo","correctivos realizados","temperatura","Vibración","cantidad de elementos"
"2024","BMS","215630672","55","0","52","6","0","0","7"
"2025","SCADA MEP","61370680","0","3","0","6","0","0","0"
"2023","SCADA ELECTRICO","173295968","0","0","0","12","0","0","0"
"2022","DACI","79694024","0","0","0","6","0","0","0"
"2024","FASI","135970480","0","0","0","15","0","0","3"
"2025","ABCS","68837488","0","0","41","6","0","0","1"
"2023","BALANZAS","227721632","0","0","0","8","0","0","0"
"2022","SEMAFOROS","141503600","0","0","1","19","16","16","3"
"2024","PAS","8217840","0","1","0","14","0","0","0"
"2025","FIDS","116440096","0","378","9","9","0","0","170"
"2023","PIDS","112348104","0","0","0","7","0","0","1"
"2024","FIBROLASER","223938928","0","0","0","2","0","0","8"
"2025","AGENTE LIMPIO","44399688","0","266","1","6","0","0","2269"
"2023","ACS","104131304","1536","0","175","11","0","0","0"
"2022","SCADA MEP","61019512","168","2","521","3","0","0","3"
"2024","SCADA ELECTRICO","44348552","6150","14","1074","11","0","0","21"
"2025","BMS","35018688","0","0","0","9","0","0","5"
"2023","SCADA MEP","34540712","0","0","0","9","0","0","0"
"2022","SCADA ELECTRICO","125539768","0","0","12","14","0","0","5"
"2024","DACI","220392160","0","0","0","9","0","0","0"
"2025","FASI","166567552","0","0","23","14","0","0","8"
"2023","ABCS","218786520","0","0","6","4","0","0","2"
"2024","BALANZAS","176851840","0","0","0","8","0","0","0"
"2025","SEMAFOROS","55587136","0","0","0","7","0","0","0"
"2023","PAS","161730848","0","0","0","5","0","0","0"
"2022","FIDS","181980928","0","0","4","7","0","0","0"
"2024","PIDS","134506192","0","9","0","16","0","0","145"
"2025","FIBROLASER","105234552","392","24929","529","3","0","0","10137"
"2023","AGENTE LIMPIO","41356960","1984","0","46","4","0","0","65"
"2022","ACS","126680112","0","0","0","7","0","0","51"
"2024","SCADA MEP","11041528","0","0","8","6","0","0","1"
"2025","SCADA ELECTRICO","121664216","0","0","7","3","0","0","0"
"2023","BMS","131625384","0","14","0","3","0","0","255"
"2024","SCADA MEP","182270456","0","0","2","3","0","0","0"
"2025","SCADA ELECTRICO","163784840","0","0","7","4","0","0","57"
"2023","BMS","133978568","192","0","0","4","0","0","1"
"2022","SCADA MEP","188415568","496","0","0","5","0","0","0"
"2024","SCADA ELECTRICO","212782472","928","0","3","4","0","0","0"
"2025","DACI","67826320","1952","0","12","5","0","0","0"
"2023","FASI","124661944","128","0","0","4","0","0","1"
"2022","ABCS","107727520","0","0","0","2","0","0","3"
"2024","BALANZAS","118304768","0","0","0","9","0","0","0"
"2025","SEMAFOROS","193299520","0","1","0","4","0","0","0"
"2023","PAS","36835520","744","3","2","4","0","0","6"
"2024","FIDS","12568128","136","0","2","6","0","0","2"
"2025","PIDS","9461552","7928","0","7","3","0","0","4"
"2023","FIBROLASER","150282408","360","0","0","3","0","0","2"
"2022","AGENTE LIMPIO","32240224","0","0","0","4","0","0","0"
"2024","ACS","214406240","8","1","8","4","0","0","1"
"2025","SCADA MEP","204365424","0","0","0","7","0","0","1"
"2023","SCADA ELECTRICO","201740416","0","0","0","9","0","0","0"
"2022","BMS","138051992","464","0","3","4","0","0","0"
"2024","SCADA MEP","190272496","21528","0","331","4","8","8","0"
"2025","SCADA ELECTRICO","164954392","1392","0","0","4","0","0","0"
"2023","DACI","16350056","128","3","6","4","48","48","5"
"2024","FASI","128177168","0","0","0","5","0","0","0"
"2025","ABCS","77946232","0","0","0","7","0","0","2"
"2023","BALANZAS","145431032","0","0","0","5","0","0","0"
"2022","SEMAFOROS","116599776","0","0","0","6","0","0","0"
"2024","PAS","117542136","352","0","1","4","0","0","0"
"2025","FIDS","8337728","7448","382","7","4","0","0","1864"
"2023","PIDS","59979360","104","0","0","4","0","0","0"
"2022","FIBROLASER","4308592","0","0","0","4","0","0","0"
"2024","AGENTE LIMPIO","50147888","528","0","4","9","32","32","3"
"2025","ACS","40804784","192","0","0","4","0","0","0"
"2023","SCADA MEP","68179312","800","0","0","4","0","0","1"
"2024","SCADA ELECTRICO","31652376","0","0","0","4","312","312","0"
"2025","BMS","3131464","520","0","3","4","0","0","0"
"2023","SCADA MEP","214520784","1888","0","6","7","0","0","0"
"2022","SCADA ELECTRICO","149416256","1232","1326","4","5","0","0","898"
"2024","BMS","181849512","368","0","0","4","0","0","9"
"2025","SCADA MEP","127130528","0","0","0","4","0","0","0"
