ID_Mantenimiento,Fecha,Equipo,Componentes_Reemplazados
1,2023-01-05,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Rodamiento"
2,2023-01-08,Compresor,"Filtro_Aire,Correa_Transmisión"
3,2023-01-12,Motor_Eléctrico,"Rodamiento,Escobillas,Ventilador_Enfriamiento"
4,2023-01-15,Bomba_Hidráulica,"Sello_Mecánico,Válvula_Control"
5,2023-01-20,Compresor,"Filtro_Aire,Válvula_Retención,Aceite_Lubricante"
6,2023-01-25,Motor_Eléctrico,"Rodamiento,Escobillas"
7,2023-01-28,Bomba_Centrífuga,"Impulsor,Sello_Mecánico,Rodamiento"
8,2023-02-03,Compresor,"Filtro_Aire,Aceite_Lubricante"
9,2023-02-08,Motor_Eléctrico,"Escobillas,Ventilador_Enfriamiento"
10,2023-02-10,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
11,2023-02-15,Válvula_Control,"Asiento_Válvula,Empaquetadura"
12,2023-02-18,Compresor,"Filtro_Aire,Correa_Transmisión,Aceite_Lubricante"
13,2023-02-22,Motor_Eléctrico,"Rodamiento,Ventilador_Enfriamiento"
14,2023-02-25,Bomba_Centrífuga,"Sello_Mecánico,Rodamiento"
15,2023-03-01,Cinta_Transportadora,"Rodamiento,Correa_Transmisión"
16,2023-03-05,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Válvula_Control"
17,2023-03-08,Compresor,"Filtro_Aire,Válvula_Retención"
18,2023-03-12,Motor_Eléctrico,"Rodamiento,Escobillas,Fusible_Protección"
19,2023-03-15,Bomba_Centrífuga,"Impulsor,Sello_Mecánico"
20,2023-03-20,Válvula_Control,"Asiento_Válvula,Empaquetadura,Actuador"
21,2023-03-25,Compresor,"Filtro_Aire,Aceite_Lubricante,Pistón"
22,2023-03-28,Motor_Eléctrico,"Rodamiento,Ventilador_Enfriamiento"
23,2023-04-03,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
24,2023-04-08,Cinta_Transportadora,"Rodamiento,Correa_Transmisión,Tensor"
25,2023-04-12,Compresor,"Filtro_Aire,Correa_Transmisión"
26,2023-04-15,Motor_Eléctrico,"Escobillas,Fusible_Protección"
27,2023-04-20,Bomba_Centrífuga,"Sello_Mecánico,Rodamiento,Impulsor"
28,2023-04-25,Válvula_Control,"Empaquetadura,Actuador"
29,2023-04-28,Compresor,"Filtro_Aire,Aceite_Lubricante"
30,2023-05-03,Motor_Eléctrico,"Rodamiento,Escobillas,Ventilador_Enfriamiento"
31,2023-05-08,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Válvula_Control"
32,2023-05-12,Cinta_Transportadora,"Rodamiento,Correa_Transmisión"
33,2023-05-15,Compresor,"Filtro_Aire,Válvula_Retención,Aceite_Lubricante"
34,2023-05-20,Motor_Eléctrico,"Rodamiento,Fusible_Protección"
35,2023-05-25,Bomba_Centrífuga,"Sello_Mecánico,Impulsor"
36,2023-05-28,Válvula_Control,"Asiento_Válvula,Empaquetadura"
37,2023-06-03,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
38,2023-06-08,Compresor,"Filtro_Aire,Correa_Transmisión,Pistón"
39,2023-06-12,Motor_Eléctrico,"Rodamiento,Escobillas"
40,2023-06-15,Bomba_Centrífuga,"Impulsor,Sello_Mecánico,Rodamiento"
41,2023-06-20,Cinta_Transportadora,"Rodamiento,Correa_Transmisión,Tensor"
42,2023-06-25,Compresor,"Filtro_Aire,Aceite_Lubricante"
43,2023-06-28,Motor_Eléctrico,"Ventilador_Enfriamiento,Fusible_Protección"
44,2023-07-03,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico,Válvula_Control"
45,2023-07-08,Válvula_Control,"Asiento_Válvula,Empaquetadura,Actuador"
46,2023-07-12,Compresor,"Filtro_Aire,Válvula_Retención"
47,2023-07-15,Motor_Eléctrico,"Rodamiento,Escobillas,Ventilador_Enfriamiento"
48,2023-07-20,Bomba_Centrífuga,"Sello_Mecánico,Rodamiento"
49,2023-07-25,Cinta_Transportadora,"Correa_Transmisión,Tensor"
50,2023-07-28,Bomba_Hidráulica,"Filtro_Aceite,Sello_Mecánico"
